name,cases,date,day,diff
Germany,7272,2020-03-16,14,1.586041439476554
Germany,9360,2020-03-17,15,1.2871287128712872
Germany,12327,2020-03-18,16,1.3169871794871795
Germany,15320,2020-03-19,17,1.2428003569400503
Germany,19848,2020-03-20,18,1.29556135770235
Greece,7,2020-02-29,-8,NA
Greece,8,2020-03-04,-7,1.1428571428571428
Greece,31,2020-03-05,-6,3.875
Greece,45,2020-03-06,-5,1.4516129032258065
Greece,66,2020-03-07,-4,1.4666666666666666
Greece,73,2020-03-08,-3,1.106060606060606
Greece,89,2020-03-10,-2,1.2191780821917808
Greece,99,2020-03-11,-1,1.1123595505617978
Greece,117,2020-03-13,0,1.1818181818181819
Greece,228,2020-03-14,1,1.9487179487179487
Greece,331,2020-03-16,2,1.4517543859649122
Greece,387,2020-03-17,3,1.1691842900302114
Greece,464,2020-03-19,4,1.198966408268734
Greece,495,2020-03-20,5,1.0668103448275863
Hong Kong,69,2020-02-20,-8,NA
Hong Kong,70,2020-02-22,-7,1.0144927536231885
Hong Kong,74,2020-02-23,-6,1.0571428571428572
Hong Kong,81,2020-02-24,-5,1.0945945945945945
Hong Kong,85,2020-02-25,-4,1.0493827160493827
Hong Kong,89,2020-02-26,-3,1.0470588235294118
Hong Kong,92,2020-02-27,-2,1.0337078651685394
Hong Kong,93,2020-02-28,-1,1.0108695652173914
Hong Kong,100,2020-03-01,0,1.075268817204301
Hong Kong,101,2020-03-04,1,1.01
Hong Kong,105,2020-03-05,2,1.0396039603960396
Hong Kong,108,2020-03-06,3,1.0285714285714285
Hong Kong,115,2020-03-08,4,1.0648148148148149
Hong Kong,121,2020-03-10,5,1.0521739130434782
Hong Kong,130,2020-03-12,6,1.0743801652892562
Hong Kong,132,2020-03-13,7,1.0153846153846153
Hong Kong,142,2020-03-14,8,1.0757575757575757
Hong Kong,149,2020-03-16,9,1.0492957746478873
Hong Kong,158,2020-03-17,10,1.0604026845637584
Hong Kong,193,2020-03-18,11,1.2215189873417722
Hong Kong,256,2020-03-20,12,1.3264248704663213
Hungary,19,2020-03-13,-6,NA
Hungary,30,2020-03-15,-5,1.5789473684210527
Hungary,32,2020-03-16,-4,1.0666666666666667
Hungary,50,2020-03-17,-3,1.5625
Hungary,73,2020-03-19,-2,1.46
Hungary,85,2020-03-20,-1,1.1643835616438356
Hungary,103,2020-03-21,0,1.2117647058823529
Iceland,26,2020-03-04,-7,NA
Iceland,34,2020-03-05,-6,1.3076923076923077
Iceland,50,2020-03-07,-5,1.4705882352941178
Iceland,55,2020-03-08,-4,1.1
Iceland,58,2020-03-09,-3,1.0545454545454545
Iceland,65,2020-03-10,-2,1.1206896551724137
Iceland,85,2020-03-11,-1,1.3076923076923077
Iceland,117,2020-03-13,0,1.3764705882352941
Iceland,134,2020-03-14,1,1.1452991452991452
Iceland,161,2020-03-15,2,1.2014925373134329
Iceland,180,2020-03-16,3,1.1180124223602483
Iceland,247,2020-03-17,4,1.3722222222222222
Iceland,330,2020-03-19,5,1.3360323886639676
Iceland,409,2020-03-20,6,1.2393939393939395
India,34,2020-03-07,-6,NA
India,39,2020-03-08,-5,1.1470588235294117
India,43,2020-03-09,-4,1.1025641025641026
India,50,2020-03-10,-3,1.1627906976744187
India,60,2020-03-11,-2,1.2
India,73,2020-03-12,-1,1.2166666666666666
India,109,2020-03-15,0,1.4931506849315068
India,130,2020-03-16,1,1.1926605504587156
India,137,2020-03-17,2,1.0538461538461539
India,147,2020-03-18,3,1.072992700729927
India,173,2020-03-19,4,1.1768707482993197
India,236,2020-03-20,5,1.3641618497109826
India,258,2020-03-21,6,1.0932203389830508
Indonesia,19,2020-03-09,-3,NA
Indonesia,34,2020-03-11,-2,1.7894736842105263
Indonesia,69,2020-03-13,-1,2.0294117647058822
Indonesia,117,2020-03-15,0,1.6956521739130435
Indonesia,134,2020-03-16,1,1.1452991452991452
Indonesia,172,2020-03-17,2,1.2835820895522387
Indonesia,227,2020-03-18,3,1.319767441860465
Indonesia,309,2020-03-19,4,1.3612334801762114
Indonesia,369,2020-03-20,5,1.1941747572815533
Iran,28,2020-02-22,-4,NA
Iran,43,2020-02-23,-3,1.5357142857142858
Iran,61,2020-02-24,-2,1.4186046511627908
Iran,95,2020-02-25,-1,1.5573770491803278
Iran,139,2020-02-26,0,1.4631578947368422
Iran,245,2020-02-27,1,1.7625899280575539
Iran,388,2020-02-28,2,1.583673469387755
Iran,593,2020-02-29,3,1.5283505154639174
Iran,978,2020-03-01,4,1.6492411467116357
Iran,1501,2020-03-02,5,1.534764826175869
Iran,2336,2020-03-03,6,1.5562958027981346
Iran,2922,2020-03-04,7,1.2508561643835616
Iran,3513,2020-03-05,8,1.202258726899384
Iran,4747,2020-03-06,9,1.3512667235980644
Iran,5823,2020-03-07,10,1.2266694754581842
Iran,6566,2020-03-08,11,1.1275974583547999
Iran,7161,2020-03-09,12,1.0906183368869935
Iran,8042,2020-03-10,13,1.1230275101242844
Iran,9000,2020-03-11,14,1.1191245958716738
Iran,10075,2020-03-12,15,1.1194444444444445
Iran,11364,2020-03-13,16,1.1279404466501242
Iran,12729,2020-03-14,17,1.1201161562829989
Iran,13938,2020-03-15,18,1.094979967004478
Iran,14991,2020-03-16,19,1.0755488592337494
Iran,16169,2020-03-17,20,1.0785804816223068
Iran,17361,2020-03-18,21,1.0737213185725771
Iran,18407,2020-03-19,22,1.060249985599908
Iran,19644,2020-03-20,23,1.067202694627044
Iraq,8,2020-02-28,-9,NA
Iraq,13,2020-02-29,-8,1.625
Iraq,19,2020-03-01,-7,1.4615384615384615
Iraq,26,2020-03-02,-6,1.368421052631579
Iraq,35,2020-03-04,-5,1.3461538461538463
Iraq,46,2020-03-07,-4,1.3142857142857143
Iraq,60,2020-03-08,-3,1.3043478260869565
Iraq,71,2020-03-12,-2,1.1833333333333333
Iraq,83,2020-03-13,-1,1.1690140845070423
Iraq,124,2020-03-15,0,1.4939759036144578
Iraq,133,2020-03-16,1,1.0725806451612903
Iraq,154,2020-03-17,2,1.1578947368421053
Iraq,177,2020-03-19,3,1.1493506493506493
Iraq,208,2020-03-20,4,1.1751412429378532
Ireland,18,2020-03-06,-6,NA
Ireland,19,2020-03-07,-5,1.0555555555555556
Ireland,21,2020-03-08,-4,1.105263157894737
Ireland,34,2020-03-10,-3,1.619047619047619
Ireland,43,2020-03-11,-2,1.2647058823529411
Ireland,70,2020-03-13,-1,1.627906976744186
Ireland,169,2020-03-15,0,2.414285714285714
Ireland,223,2020-03-16,1,1.319526627218935
Ireland,366,2020-03-18,2,1.641255605381166
Ireland,683,2020-03-20,3,1.866120218579235
Israel,7,2020-02-28,-7,NA
Israel,10,2020-03-01,-6,1.4285714285714286
Israel,12,2020-03-02,-5,1.2
Israel,15,2020-03-04,-4,1.25
Israel,17,2020-03-06,-3,1.1333333333333333
Israel,39,2020-03-08,-2,2.2941176470588234
Israel,76,2020-03-11,-1,1.9487179487179487
Israel,100,2020-03-12,0,1.3157894736842106
Israel,109,2020-03-13,1,1.09
Israel,193,2020-03-15,2,1.7706422018348624
Israel,277,2020-03-16,3,1.4352331606217616
Israel,337,2020-03-17,4,1.2166064981949458
Israel,573,2020-03-19,5,1.7002967359050445
Israel,705,2020-03-20,6,1.2303664921465969
Italy,155,2020-02-23,0,NA
Italy,231,2020-02-24,1,1.4903225806451612
Italy,322,2020-02-25,2,1.393939393939394
Italy,453,2020-02-26,3,1.406832298136646
Italy,655,2020-02-27,4,1.445916114790287
Italy,889,2020-02-28,5,1.3572519083969465
Italy,1128,2020-02-29,6,1.2688413948256467
Italy,1694,2020-03-01,7,1.50177304964539
Italy,2036,2020-03-02,8,1.2018890200708383
Italy,3089,2020-03-04,9,1.5171905697445973
Italy,3858,2020-03-05,10,1.2489478795726772
Italy,4636,2020-03-06,11,1.2016588906169
Italy,5883,2020-03-07,12,1.2689818809318378
Italy,7375,2020-03-08,13,1.2536121026687064
Italy,9172,2020-03-09,14,1.2436610169491524
Italy,10149,2020-03-10,15,1.1065198430004362
Italy,12462,2020-03-11,16,1.22790422701744
Italy,15113,2020-03-12,17,1.2127266891349704
Italy,17660,2020-03-13,18,1.1685304042876994
Italy,21157,2020-03-14,19,1.1980181200453002
Italy,24747,2020-03-15,20,1.1696837925981944
Italy,27980,2020-03-16,21,1.1306420980320846
Italy,31506,2020-03-17,22,1.1260185847033595
Italy,35713,2020-03-18,23,1.1335301212467466
Italy,41035,2020-03-19,24,1.1490213647691316
Italy,47021,2020-03-20,25,1.145875472157914
Japan,203,2020-02-11,0,NA
Japan,252,2020-02-13,1,1.2413793103448276
Japan,260,2020-02-14,2,1.0317460317460319
Japan,408,2020-02-15,3,1.5692307692307692
Japan,416,2020-02-16,4,1.0196078431372548
Japan,66,2020-02-17,5,0.15865384615384615
Japan,76,2020-02-18,6,1.1515151515151516
Japan,85,2020-02-19,7,1.118421052631579
Japan,97,2020-02-20,8,1.1411764705882352
Japan,110,2020-02-21,9,1.134020618556701
Japan,134,2020-02-22,10,1.2181818181818183
Japan,146,2020-02-23,11,1.0895522388059702
Japan,159,2020-02-24,12,1.0890410958904109
Japan,161,2020-02-25,13,1.0125786163522013
Japan,189,2020-02-26,14,1.173913043478261
Japan,214,2020-02-27,15,1.1322751322751323
Japan,234,2020-02-28,16,1.0934579439252337
Japan,241,2020-02-29,17,1.0299145299145298
Japan,256,2020-03-01,18,1.062240663900415
Japan,274,2020-03-02,19,1.0703125
Japan,319,2020-03-04,20,1.1642335766423357
